Column1,Column2,Column3
1,삼성전자,66400
2,LG에너지솔루션,426500
3,SK하이닉스,108000
4,삼성바이오로직스,831000
5,삼성전자우,59800
6,NAVER,266000
7,삼성SDI,588000
8,현대차,183500
9,LG화학,534000
10,카카오,81800
11,기아,82600
12,POSCO홀딩스,290500
13,KB금융,59600
14,삼성물산,116500
15,신한지주,42350
16,셀트리온,153000
17,현대모비스,202500
18,카카오뱅크,40150
19,SK이노베이션,205000
20,SK,236500
21,LG전자,102500
22,HMM,32300
23,한국전력,23600
24,하나금융지주,47850
25,카카오페이,102000
26,삼성생명,67100
27,두산에너빌리티,20050
28,크래프톤,257000
29,SK텔레콤,56400
30,S-Oil,105500
31,LG,75400
32,KT&G,84900
33,삼성에스디에스,147000
34,삼성전기,152000
35,LG생활건강,708000
36,우리금융지주,14800
37,고려아연,567000
38,포스코케미칼,133500
39,SK바이오사이언스,134500
40,현대중공업,113000
41,대한항공,28500
42,엔씨소프트,444500
43,KT,37000
44,삼성화재,198500
45,아모레퍼시픽,157000
46,하이브,219500
47,LG이노텍,379500
48,SK아이이테크놀로지,120000
49,기업은행,11100
50,현대글로비스,207000
