,날짜,언론사,기사제목,링크
0, 2022.05.27 16:32,파이낸셜뉴스,네오위즈 신작 '원시전쟁' 구글플레이·앱스토어에 등판,https://finance.naver.com/item/news_read.naver?article_id=0004843260&office_id=014&code=095660&page=1&sm=
1, 2022.05.27 09:56,한국경제,"네오위즈, 50억 규모 자사주 매입 소식에 주가↑",https://finance.naver.com/item/news_read.naver?article_id=0004704454&office_id=015&code=095660&page=1&sm=
2, 2022.05.26 16:40,헤럴드경제,"네오위즈, 50억 규모 자사주 취득 신탁계약 체결",https://finance.naver.com/item/news_read.naver?article_id=0001996059&office_id=016&code=095660&page=1&sm=
3, 2022.05.26 16:30,이데일리,"네오위즈, 50억원 규모 자사주 취득 신탁계약",https://finance.naver.com/item/news_read.naver?article_id=0005226183&office_id=018&code=095660&page=1&sm=
4, 2022.05.25 08:41,헤럴드경제,하반기 게임주 장르 다각화 주목…톱픽은 펄어비스·네오위즈,https://finance.naver.com/item/news_read.naver?article_id=0001995051&office_id=016&code=095660&page=1&sm=
5, 2022.05.12 14:07,비즈니스워치,"'고양이야 고맙다' 네오위즈, 1Q 경쾌한 발걸음",https://finance.naver.com/item/news_read.naver?article_id=0000007914&office_id=648&code=095660&page=1&sm=
6, 2022.05.12 10:50,이데일리,"네오위즈, 1분기 영업익 112억…전년比 17% ↓",https://finance.naver.com/item/news_read.naver?article_id=0005213489&office_id=018&code=095660&page=1&sm=
7, 2022.05.12 10:46,매일경제,"네오위즈, 1Q 영업익 111억…신작 출시·P2E 진출 본격화",https://finance.naver.com/item/news_read.naver?article_id=0004962766&office_id=009&code=095660&page=1&sm=
8, 2022.05.12 09:11,서울경제,"네오위즈 1분기 영업익 112억, 전년 대비 176% ↑",https://finance.naver.com/item/news_read.naver?article_id=0004052710&office_id=011&code=095660&page=1&sm=
9, 2022.05.12 10:54,이데일리,"네오위즈, 1Q 영업익 111.6억원…전년 대비 16.6%↓",https://finance.naver.com/item/news_read.naver?article_id=0005213492&office_id=018&code=095660&page=1&sm=
10, 2022.05.12 08:58,헤럴드경제,"네오위즈, 1분기 영업익 112억…전년비 16.6% ↓",https://finance.naver.com/item/news_read.naver?article_id=0001989625&office_id=016&code=095660&page=1&sm=
11, 2022.05.12 09:35,아시아경제,"네오위즈, 1분기 영업이익 112억원…전년대비 16.6% 감소",https://finance.naver.com/item/news_read.naver?article_id=0005087701&office_id=277&code=095660&page=1&sm=
12, 2022.05.09 15:25,이코노미스트,"네오위즈, 기술 인프라 AWS 클라우드로 전면 이전",https://finance.naver.com/item/news_read.naver?article_id=0000026208&office_id=243&code=095660&page=1&sm=
13, 2022.04.28 10:06,서울경제,판 커지는 블록체인 게임…컴투스홀딩스·네오위즈 동시 데뷔,https://finance.naver.com/item/news_read.naver?article_id=0004047701&office_id=011&code=095660&page=1&sm=
14, 2022.03.24 15:47,서울경제,음악과 만난 블록체인…네오위즈 '네오핀'·벅스 뭉쳤다,https://finance.naver.com/item/news_read.naver?article_id=0004033694&office_id=011&code=095660&page=1&sm=
